Percentage of selected features: 1%

              -       Baseline             FS   RU(3:1) + FS   RU(2:1) + FS   RU(1:1) + FS   FS + RU(3:1)   FS + RU(2:1)   FS + RU(1:1)     FS + Cost2     FS + Cost3     FS + Cost4     FS + Cost5        RU(3:1)        RU(2:1)        RU(1:1)          Cost2          Cost3          Cost4          Cost5
    Specificity          0,996          0,991          0,971          0,964          0,950          0,971          0,963          0,937          0,981          0,975          0,972          0,967          0,985          0,979          0,934          0,993          0,988          0,981          0,970
         Recall          0,235          0,575          0,799          0,849          0,877          0,782          0,832          0,911          0,721          0,777          0,827          0,844          0,698          0,838          0,978          0,520          0,760          0,827          0,939
      Precision          0,764          0,786          0,614          0,578          0,503          0,606          0,560          0,452          0,690          0,641          0,627          0,597          0,727          0,701          0,459          0,809          0,782          0,712          0,644
      F-Measure          0,359          0,665          0,694          0,688          0,640          0,683          0,670          0,604          0,705          0,702          0,713          0,699          0,712          0,763          0,625          0,633          0,771          0,765          0,764
         G-Mean          0,484          0,755          0,881          0,905          0,913          0,871          0,895          0,924          0,841          0,870          0,897          0,903          0,829          0,906          0,956          0,719          0,867          0,901          0,954
            MCC          0,408          0,657          0,681          0,680          0,641          0,668          0,661          0,615          0,688          0,687          0,702          0,690          0,696          0,752          0,646          0,633          0,758          0,753          0,763


Percentage of selected features: 2%

              -       Baseline             FS   RU(3:1) + FS   RU(2:1) + FS   RU(1:1) + FS   FS + RU(3:1)   FS + RU(2:1)   FS + RU(1:1)     FS + Cost2     FS + Cost3     FS + Cost4     FS + Cost5        RU(3:1)        RU(2:1)        RU(1:1)          Cost2          Cost3          Cost4          Cost5
    Specificity          0,996          0,991          0,975          0,971          0,953          0,977          0,972          0,953          0,984          0,978          0,972          0,967          0,985          0,979          0,934          0,993          0,988          0,981          0,970
         Recall          0,235          0,536          0,804          0,855          0,905          0,838          0,855          0,888          0,732          0,782          0,872          0,894          0,698          0,838          0,978          0,520          0,760          0,827          0,939
      Precision          0,764          0,780          0,646          0,630          0,524          0,676          0,638          0,518          0,720          0,670          0,645          0,606          0,727          0,701          0,459          0,809          0,782          0,712          0,644
      F-Measure          0,359          0,636          0,716          0,725          0,664          0,748          0,730          0,654          0,726          0,722          0,741          0,722          0,712          0,763          0,625          0,633          0,771          0,765          0,764
         G-Mean          0,484          0,729          0,885          0,911          0,929          0,905          0,912          0,920          0,849          0,875          0,921          0,930          0,829          0,906          0,956          0,719          0,867          0,901          0,954
            MCC          0,408          0,631          0,703          0,716          0,667          0,737          0,721          0,656          0,710          0,707          0,733          0,718          0,696          0,752          0,646          0,633          0,758          0,753          0,763


Percentage of selected features: 5%

              -       Baseline             FS   RU(3:1) + FS   RU(2:1) + FS   RU(1:1) + FS   FS + RU(3:1)   FS + RU(2:1)   FS + RU(1:1)     FS + Cost2     FS + Cost3     FS + Cost4     FS + Cost5        RU(3:1)        RU(2:1)        RU(1:1)          Cost2          Cost3          Cost4          Cost5
    Specificity          0,996          0,994          0,977          0,972          0,951          0,978          0,969          0,950          0,988          0,982          0,975          0,966          0,985          0,979          0,934          0,993          0,988          0,981          0,970
         Recall          0,235          0,453          0,821          0,877          0,922          0,799          0,849          0,922          0,715          0,816          0,883          0,911          0,698          0,838          0,978          0,520          0,760          0,827          0,939
      Precision          0,764          0,802          0,671          0,646          0,519          0,671          0,613          0,516          0,771          0,723          0,667          0,608          0,727          0,701          0,459          0,809          0,782          0,712          0,644
      F-Measure          0,359          0,579          0,739          0,744          0,664          0,730          0,712          0,661          0,742          0,766          0,760          0,729          0,712          0,763          0,625          0,633          0,771          0,765          0,764
         G-Mean          0,484          0,671          0,896          0,923          0,936          0,884          0,907          0,936          0,840          0,895          0,928          0,938          0,829          0,906          0,956          0,719          0,867          0,901          0,954
            MCC          0,408          0,587          0,726          0,737          0,670          0,716          0,703          0,668          0,728          0,754          0,752          0,727          0,696          0,752          0,646          0,633          0,758          0,753          0,763


